Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Source,EID
"MacLeod N., Price B., Stevens Z.","57200347364;16481131800;57570947900;","What you sample is what you get: ecomorphological variation in Trithemis (Odonata, Libellulidae) dragonfly wings reconsidered",2022,"BMC Ecology and Evolution","22","1","43","","",,,"10.1186/s12862-022-01978-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127940517&doi=10.1186%2fs12862-022-01978-y&partnerID=40&md5=e26d91ff57acb5b40bd625ec8e66b57b","Convolution neural network; Dragonfly; Ecology; Geometric morphometrics; Machine learning; Morphology; Odonata; Trithemis","water; anatomy and histology; animal; female; male; Odonata; phylogeny; species difference; wing; Animals; Female; Male; Odonata; Phylogeny; Species Specificity; Water; Wings, Animal",Article,Scopus,2-s2.0-85127940517
"Derkarabetian S., Starrett J., Hedin M.","24480781600;15832983400;7003726680;","Using natural history to guide supervised machine learning for cryptic species delimitation with genetic data",2022,"Frontiers in Zoology","19","1","8","","",,1,"10.1186/s12983-022-00453-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124871689&doi=10.1186%2fs12983-022-00453-0&partnerID=40&md5=06a967d0668f1574c74428b0da10840f","Integrative taxonomy; Multispecies coalescent; RADSeq; Short-range endemism; Southern Appalachians; Supervised machine learning; Ultraconserved elements",,Article,Scopus,2-s2.0-85124871689
"Kaskie K.D., Wimberly M.C., Bauman P.J.","57201487844;6603472869;7003816598;","Predictive Mapping of Low-Density Juniper Stands in Prairie Landscapes of the Northern Great Plains",2022,"Rangeland Ecology and Management","83",,,"81","90",,,"10.1016/j.rama.2022.03.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129332675&doi=10.1016%2fj.rama.2022.03.005&partnerID=40&md5=41971b138fe322a00c005d4cc288262e","Eastern redcedar; Grassland ecology; Land cover change; Predictive vegetation mapping; Rocky Mountain juniper; Seedling establishment; Tree invasion",,Article,Scopus,2-s2.0-85129332675
"Karapinar Senturk Z.","57214446969;","Amphibian species detection in water reservoirs using artificial neural networks for ecology-friendly city planning",2022,"Ecological Informatics","69",,"101640","","",,,"10.1016/j.ecoinf.2022.101640","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128320805&doi=10.1016%2fj.ecoinf.2022.101640&partnerID=40&md5=e24d35cd6720269f711445cc67b58be1","Amphibians; Artificial neural networks; Biodiversity; City planning; Conservation; Machine learning; Water reservoirs","amphibian; artificial neural network; biodiversity; conservation planning; detection method; GIS; machine learning; reservoir; satellite imagery; urban planning",Article,Scopus,2-s2.0-85128320805
"Hussein B.R., Malik O.A., Ong W.-H., Slik J.W.F.","57204496614;57301482300;57571506100;57396851200;","Applications of computer vision and machine learning techniques for digitized herbarium specimens: A systematic literature review",2022,"Ecological Informatics","69",,"101641","","",,,"10.1016/j.ecoinf.2022.101641","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127946494&doi=10.1016%2fj.ecoinf.2022.101641&partnerID=40&md5=385d4fc5b019584b021c88da58599a1e","Computer vision; Deep learning; Digitized herbarium specimen; Machine learning; Plant science; Plant species identification","computer vision; herbarium; identification method; literature review; machine learning; type specimen",Review,Scopus,2-s2.0-85127946494
"Lu X., Saul S., Jenkins C.","57491749600;55889974100;57207802772;","Statistical methods for predicting the spatial abundance of reef fish species",2022,"Ecological Informatics","69",,"101624","","",,,"10.1016/j.ecoinf.2022.101624","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126543429&doi=10.1016%2fj.ecoinf.2022.101624&partnerID=40&md5=6e498c0e3e9272f6cc33e88a58ae1ca5","Likelihood; Machine learning; Non-linear prediction; Random smoothing; Spatial distribution","abundance; reef; spatial data; statistical concept; Atlantic Ocean; Gulf; Gulf of Mexico; Mexico; Papua New Guinea",Article,Scopus,2-s2.0-85126543429
"Wang K., Chen K., Du H., Liu S., Xu J., Zhao J., Chen H., Liu Y., Liu Y.","57382046400;57219638277;57488644400;56188627800;57231202400;57488202900;57488318200;57210583209;57211087412;","New image dataset and new negative sample judgment method for crop pest recognition based on deep learning models",2022,"Ecological Informatics","69",,"101620","","",,,"10.1016/j.ecoinf.2022.101620","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126377114&doi=10.1016%2fj.ecoinf.2022.101620&partnerID=40&md5=abf9d4613e9c4bc0eaf6b388315812bb","Crop pests; Deep learning; Image recognition; Negative sample judgment","crop pest; data set; ecological modeling; pest control",Article,Scopus,2-s2.0-85126377114
"Burke H.M., Tingley R., Dorin A.","57221348212;36901885500;6603576183;","Tag Frequency Difference: Rapid estimation of image set relevance for species occurrence data using general-purpose image classifiers",2022,"Ecological Informatics","69",,"101598","","",,,"10.1016/j.ecoinf.2022.101598","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124835705&doi=10.1016%2fj.ecoinf.2022.101598&partnerID=40&md5=6d0e610f727e9bc41d934700bc7dacad","Biodiversity monitoring; Computer vision; Data mining; iEcology; Social media","correlation; data quality; estimation method; machine learning; Australia",Article,Scopus,2-s2.0-85124835705
"Triki A., Bouaziz B., Mahdi W.","57216459191;16244030800;14834375200;","A deep learning-based approach for detecting plant organs from digitized herbarium specimen images",2022,"Ecological Informatics","69",,"101590","","",,1,"10.1016/j.ecoinf.2022.101590","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124206269&doi=10.1016%2fj.ecoinf.2022.101590&partnerID=40&md5=557fd914d9f6f340bf4882d87cfaf5ea","Deep learning; DenseNet; Digitization; Herbarium specimens; Plant organ detection; ResNet; YOLO-V3","climate change; global climate; image analysis; plant; type specimen",Article,Scopus,2-s2.0-85124206269
"Tehrani N.A., Naimi B., Jaboyedoff M.","57435649500;37461933100;6701550038;","A data-integration approach to correct sampling bias in species distribution models using multiple datasets of breeding birds in the Swiss Alps",2022,"Ecological Informatics","69",,"101501","","",,,"10.1016/j.ecoinf.2021.101501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123836790&doi=10.1016%2fj.ecoinf.2021.101501&partnerID=40&md5=9ee38f11db36580a942b6065835516c7","Bird species; Data pooling; Model-based data integration; Presence-only data; Random forest; Species distribution models; Swiss Alps","abundance; biodiversity; data set; decision making; machine learning; sampling bias; Alps",Article,Scopus,2-s2.0-85123836790
