year,all,envi,all_nn,envi_nn
1971,410261,9816,0.624487789136563,0.281518871171274
1972,420983,10383,0.640808516856532,0.297780199609958
1973,511356,12108,0.778371763101334,0.347252495124469
1974,550712,14360,0.83827836263007,0.41183893541356
1975,553631,14736,0.84272158257174,0.422622461856143
1976,555329,15782,0.845306230554253,0.452621314672479
1977,577826,17682,0.879550533064619,0.507112538717449
1978,608318,22071,0.925964600368974,0.632987266261328
1979,644388,31706,0.980869342847923,0.90931513135253
1980,656956,34868,1,1
1981,686611,37233,1.04514000937658,1.06782723414019
1982,729773,40432,1.1108399953726,1.15957324767695
1983,752990,41289,1.1461802616918,1.18415165768039
1984,796699,42741,1.21271287574815,1.22579442468739
1985,810594,39425,1.23386345508679,1.13069289893312
1986,795798,38436,1.21134139881514,1.10232878283813
1987,801354,38050,1.21979858620669,1.09125846047952
1988,826581,39467,1.2581984181589,1.13189744178043
1989,875946,41762,1.33334043680246,1.19771710450843
1990,924709,45155,1.40756610792808,1.29502695881611
1991,929066,44246,1.41419821114352,1.26895721004933
1992,928673,43624,1.41359999756452,1.2511185040725
1993,982503,45241,1.49553851399485,1.29749340369393
1994,1018013,46981,1.54959084017803,1.34739589308248
1995,1050915,50217,1.59967334189809,1.44020305150855
1996,1190514,51754,1.81216702488447,1.48428358380177
1997,1217491,53065,1.85323065776095,1.5218825283928
1998,1232438,52619,1.87598256199806,1.50909143053803
1999,1240438,56459,1.88815993765184,1.61922106229207
2000,1307633,55660,1.99044228228375,1.59630606860158
2001,1419258,60539,2.16035472695279,1.73623379603074
2002,1488695,61435,2.26604978111167,1.76193071010669
2003,1573423,64556,2.39502036666078,1.85143971549845
2004,1688654,68569,2.57042176340577,1.96653091659975
2005,1924468,77965,2.92937122120812,2.23600435929792
2006,2025096,86285,3.0825443408691,2.47461856143169
2007,2128078,94373,3.2393006533162,2.70657909831364
2008,2229212,97024,3.39324399198729,2.78260869565217
2009,2347343,106430,3.57305968740677,3.05236893426638
2010,2471196,112270,3.76158525076261,3.21985774922565
2011,2634274,126187,4.00981800912085,3.61899162555925
2012,2766655,128681,4.21132465492362,3.69051852701617
2013,2889784,136467,4.39874816578279,3.91381782723414
2014,2932302,145676,4.46346787303868,4.17792818630263
2015,2932089,152257,4.4631436504119,4.36666857863944
2016,3033982,164104,4.61824231759814,4.70643570035563
2017,3120783,179592,4.75036836561353,5.15062521509694
2018,3242275,210707,4.93530008097955,6.04299070781232
2019,3386839,240959,5.15535134773105,6.91060571297465
2020,3545399,269734,5.39670693318883,7.73586096133991
2021,2504933,220127,3.81293876606652,6.31315246070896
