Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Source,EID
"MacLeod N., Price B., Stevens Z.","57200347364;16481131800;57570947900;","What you sample is what you get: ecomorphological variation in Trithemis (Odonata, Libellulidae) dragonfly wings reconsidered",2022,"BMC Ecology and Evolution","22","1","43","","",,,"10.1186/s12862-022-01978-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127940517&doi=10.1186%2fs12862-022-01978-y&partnerID=40&md5=e26d91ff57acb5b40bd625ec8e66b57b","Convolution neural network; Dragonfly; Ecology; Geometric morphometrics; Machine learning; Morphology; Odonata; Trithemis","water; anatomy and histology; animal; female; male; Odonata; phylogeny; species difference; wing; Animals; Female; Male; Odonata; Phylogeny; Species Specificity; Water; Wings, Animal",Article,Scopus,2-s2.0-85127940517
"Liu Q., Gui D., Zhang L., Niu J., Dai H., Wei G., Hu B.X.","57200102876;27867624600;57188853134;35788405700;56714580300;57200806035;7402045092;","Simulation of regional groundwater levels in arid regions using interpretable machine learning models",2022,"Science of the Total Environment","831",,"154902","","",,,"10.1016/j.scitotenv.2022.154902","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127480696&doi=10.1016%2fj.scitotenv.2022.154902&partnerID=40&md5=9c23642bc5e6a17276cf82d1131e50a0","Arid regions; Deep learning; Ecological water conveyance; Groundwater level; Machine learning; Shapely additive explanations","Additives; Arid regions; Convolutional neural networks; Decision trees; Deep learning; Ecosystems; Forecasting; Groundwater; Rivers; Support vector machines; Water management; Deep learning; Ecological water conveyances; Flow volumes; Ground water level; Intermittent flows; Random forests; Regional groundwater; Shapely additive explanation; Tarim River basin; Water resources management; Groundwater resources; ground water; Article; controlled study; convolutional neural network; decision tree; deep learning; desert; environmental factor; gated recurrent unit network; generalized regression neural network; long short term memory network; machine learning; meteorological phenomena; prediction; random forest; relative humidity; riparian ecosystem; river basin; simulation; spatiotemporal analysis; support vector machine; vegetation; water flow; water monitoring; water supply",Article,Scopus,2-s2.0-85127480696
"Hussein B.R., Malik O.A., Ong W.-H., Slik J.W.F.","57204496614;57301482300;57571506100;57396851200;","Applications of computer vision and machine learning techniques for digitized herbarium specimens: A systematic literature review",2022,"Ecological Informatics","69",,"101641","","",,,"10.1016/j.ecoinf.2022.101641","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127946494&doi=10.1016%2fj.ecoinf.2022.101641&partnerID=40&md5=385d4fc5b019584b021c88da58599a1e","Computer vision; Deep learning; Digitized herbarium specimen; Machine learning; Plant science; Plant species identification","computer vision; herbarium; identification method; literature review; machine learning; type specimen",Review,Scopus,2-s2.0-85127946494
"Wang K., Chen K., Du H., Liu S., Xu J., Zhao J., Chen H., Liu Y., Liu Y.","57382046400;57219638277;57488644400;56188627800;57231202400;57488202900;57488318200;57210583209;57211087412;","New image dataset and new negative sample judgment method for crop pest recognition based on deep learning models",2022,"Ecological Informatics","69",,"101620","","",,,"10.1016/j.ecoinf.2022.101620","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126377114&doi=10.1016%2fj.ecoinf.2022.101620&partnerID=40&md5=abf9d4613e9c4bc0eaf6b388315812bb","Crop pests; Deep learning; Image recognition; Negative sample judgment","crop pest; data set; ecological modeling; pest control",Article,Scopus,2-s2.0-85126377114
"Triki A., Bouaziz B., Mahdi W.","57216459191;16244030800;14834375200;","A deep learning-based approach for detecting plant organs from digitized herbarium specimen images",2022,"Ecological Informatics","69",,"101590","","",,1,"10.1016/j.ecoinf.2022.101590","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124206269&doi=10.1016%2fj.ecoinf.2022.101590&partnerID=40&md5=557fd914d9f6f340bf4882d87cfaf5ea","Deep learning; DenseNet; Digitization; Herbarium specimens; Plant organ detection; ResNet; YOLO-V3","climate change; global climate; image analysis; plant; type specimen",Article,Scopus,2-s2.0-85124206269
"Baek S.-S., Jung E.-Y., Pyo J., Pachepsky Y., Son H., Cho K.H.","56276392900;57669832500;57038412000;7005291411;23026395000;26022315200;","Hierarchical deep learning model to simulate phytoplankton at phylum/class and genus levels and zooplankton at the genus level",2022,"Water Research","218",,"118494","","",,,"10.1016/j.watres.2022.118494","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129504717&doi=10.1016%2fj.watres.2022.118494&partnerID=40&md5=7e8861422e713295791037be742ac7a8","Deep learning; Harmful algal bloom; Phytoplankton; Zooplankton",,Article,Scopus,2-s2.0-85129504717
"Zhang J., Fang S., Liu H.","37119701100;7402422546;57412132400;","Estimation of alpine grassland above-ground biomass and its response to climate on the Qinghai-Tibet Plateau during 2001 to 2019",2022,"Global Ecology and Conservation","35",,"e02065","","",,,"10.1016/j.gecco.2022.e02065","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125229869&doi=10.1016%2fj.gecco.2022.e02065&partnerID=40&md5=3af81b20d42e288ed1d9d5f5c8fe8c41","Above-ground grassland biomass; Climate change; Qinghai-Tibet Plateau; Random Forest",,Article,Scopus,2-s2.0-85125229869
"Zhang S., Wang R.","57457833100;56041518400;","Machine learning-based classification of woodland bitter vine (Mikania micrantha Kunth)",2022,"Trees, Forests and People","8",,"100219","","",,,"10.1016/j.tfp.2022.100219","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124827513&doi=10.1016%2fj.tfp.2022.100219&partnerID=40&md5=be53c33aea75556c13de886cd19ac954","Aerial image; Deep learning; Invasive species; Random forest; Remote sensing; Supervised classification","aerial survey; back propagation; imagery; invasive species; machine learning; supervised classification; vegetation cover; vine; China; Guangdong; Guangzhou",Article,Scopus,2-s2.0-85124827513
"Lu Y., Yang J., Peng M., Li T., Wen D., Huang X.","57224564695;37007208600;57444880200;57445104000;55845663900;35203557800;","Monitoring ecosystem services in the Guangdong-Hong Kong-Macao Greater Bay Area based on multi-temporal deep learning",2022,"Science of the Total Environment","822",,"153662","","",,1,"10.1016/j.scitotenv.2022.153662","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124306275&doi=10.1016%2fj.scitotenv.2022.153662&partnerID=40&md5=0dd0ae6b77cf6d723c43d4bf32978512","Deep learning; Ecosystem services; Guangdong-Hong Kong-Macao Greater Bay Area (GBA); Multi-temporal changes","Budget control; Deep learning; Economics; Ecosystems; Mapping; Bay areas; Deep learning; Ecosystem services; Guangdong-hong kong-macao great bay area; Hong-kong; Land cover mapping; Land use/land cover; Multi-temporal; Multi-temporal change; Temporal change; Land use; demand analysis; economic development; ecosystem management; ecosystem service; environmental economics; environmental impact assessment; environmental monitoring; land use change; spatial distribution; spatiotemporal analysis; urban planning; article; budget; city; deep learning; economic aspect; ecosystem; ecosystem service; Hong Kong; human; land use; Macao; quantitative analysis; surface area; China; ecosystem; environmental protection; Hong Kong; Macao; China; Guangdong; Hong Kong; Macau; China; Conservation of Natural Resources; Deep Learning; Ecosystem; Hong Kong; Macau",Article,Scopus,2-s2.0-85124306275
"Wang J., Bretz M., Dewan M.A.A., Delavar M.A.","35739431800;57443797400;7005076491;30467549900;","Machine learning in modelling land-use and land cover-change (LULCC): Current status, challenges and prospects",2022,"Science of the Total Environment","822",,"153559","","",,,"10.1016/j.scitotenv.2022.153559","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124191648&doi=10.1016%2fj.scitotenv.2022.153559&partnerID=40&md5=d0a9c5bb34286aeeea6311039dd27588","Artificial neural network; Cellular automata; Deep learning; LULC; Machine learning; Remote sensing; Self-organizing map","Agriculture; Cellular automata; Deep learning; Forecasting; Image processing; Land use; Natural resources management; Pattern recognition; Remote sensing; Self organizing maps; Agricultural production management; Cellular automatons; Current status; Deep learning; Environmental assessment; Environmental model; Land cover change modelling; Land use and land cover change; LULC; Remote-sensing; Conformal mapping; agricultural management; agricultural production; algorithm; artificial neural network; cellular automaton; computer simulation; crop yield; environmental assessment; environmental modeling; image processing; land cover; land use change; machine learning; natural resource; numerical model; remote sensing; resource management; urbanization; artificial neural network; big data; cellular automaton; competition; deep learning; feasibility study; harvest; human; human experiment; image processing; interdisciplinary research; land use; machine learning; pattern recognition; prediction; remote sensing; review; urbanization; agriculture; environmental monitoring; environmental protection; hydrology; machine learning; procedures; urbanization; Agriculture; Conservation of Natural Resources; Environmental Monitoring; Humans; Hydrology; Machine Learning; Urbanization",Review,Scopus,2-s2.0-85124191648
