Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Source,EID
"MacLeod N., Price B., Stevens Z.","57200347364;16481131800;57570947900;","What you sample is what you get: ecomorphological variation in Trithemis (Odonata, Libellulidae) dragonfly wings reconsidered",2022,"BMC Ecology and Evolution","22","1","43","","",,,"10.1186/s12862-022-01978-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127940517&doi=10.1186%2fs12862-022-01978-y&partnerID=40&md5=e26d91ff57acb5b40bd625ec8e66b57b","Convolution neural network; Dragonfly; Ecology; Geometric morphometrics; Machine learning; Morphology; Odonata; Trithemis","water; anatomy and histology; animal; female; male; Odonata; phylogeny; species difference; wing; Animals; Female; Male; Odonata; Phylogeny; Species Specificity; Water; Wings, Animal",Article,Scopus,2-s2.0-85127940517
"Balbi S., Bagstad K.J., Magrach A., Sanz M.J., Aguilar-Amuchastegui N., Giupponi C., Villa F.","55116190000;36819113600;34771810000;35600014900;22978569700;6603538886;7005590794;","The global environmental agenda urgently needs a semantic web of knowledge",2022,"Environmental Evidence","11","1","5","","",,,"10.1186/s13750-022-00258-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125266042&doi=10.1186%2fs13750-022-00258-y&partnerID=40&md5=eca6dfcb51cbfb2852887d85dd2c5f30","Artificial intelligence; Global challenges; Knowledge integration and synthesis; Semantics; Sustainability",,Note,Scopus,2-s2.0-85125266042
"Dong J., Guo F., Lin M., Zhang H., Zhu P.","57643329400;55171433600;57644061200;57203911144;57646287500;","Optimization of green infrastructure networks based on potential green roof integration in a high-density urban area—A case study of Beijing, China",2022,"Science of the Total Environment","834",,"155307","","",,,"10.1016/j.scitotenv.2022.155307","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128964655&doi=10.1016%2fj.scitotenv.2022.155307&partnerID=40&md5=881864cb06e15dbdbdd55c0a818fab98","Green infrastructure networks; Green roofs; High-density urban area; Landscape connectivity; Morphological spatial pattern analysis","Costs; Ecology; Roofs; Spatial variables measurement; Urban planning; Ecological construction; Green infrastructure networks; Green roof; High-density urban area; Landscape connectivities; Morphological spatial pattern analyse; Network optimization; Optimisations; Spatial pattern analysis; Urban areas; Remote sensing; article; China; human; landscape; machine learning; remote sensing; urban area; workflow",Article,Scopus,2-s2.0-85128964655
"Hao Y., Yu F., Hu X.","57560745000;57207959937;22953763000;","Multiple factors drive imbalance in the global microbial assemblage in soil",2022,"Science of the Total Environment","831",,"154920","","",,,"10.1016/j.scitotenv.2022.154920","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127505101&doi=10.1016%2fj.scitotenv.2022.154920&partnerID=40&md5=36eaa4513e4f9c1a4c19cad90a4f3a8d","Diversity; Feature-explicable machine learning (FEML); fungi; Multiple factors; Soil microbial community; Warming","Bacteria; Climate change; Digital storage; Ecosystems; Fungi; Land use; Machine learning; Biogeochemical cycling; Diversity; Feature-explicable machine learning; Hotspots; Machine learning approaches; Microbial assemblage; Multiple factors; Soil microbial; Soil microbial community; Warming; Soils; Africa; article; Asia; bacterivore; climate change; decomposition; ecosystem; fertilizer application; global climate; land use; machine learning; network analysis; nonhuman; North America; nutrient; soil microflora; South America; warming",Article,Scopus,2-s2.0-85127505101
"Liu Q., Gui D., Zhang L., Niu J., Dai H., Wei G., Hu B.X.","57200102876;27867624600;57188853134;35788405700;56714580300;57200806035;7402045092;","Simulation of regional groundwater levels in arid regions using interpretable machine learning models",2022,"Science of the Total Environment","831",,"154902","","",,,"10.1016/j.scitotenv.2022.154902","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127480696&doi=10.1016%2fj.scitotenv.2022.154902&partnerID=40&md5=9c23642bc5e6a17276cf82d1131e50a0","Arid regions; Deep learning; Ecological water conveyance; Groundwater level; Machine learning; Shapely additive explanations","Additives; Arid regions; Convolutional neural networks; Decision trees; Deep learning; Ecosystems; Forecasting; Groundwater; Rivers; Support vector machines; Water management; Deep learning; Ecological water conveyances; Flow volumes; Ground water level; Intermittent flows; Random forests; Regional groundwater; Shapely additive explanation; Tarim River basin; Water resources management; Groundwater resources; ground water; Article; controlled study; convolutional neural network; decision tree; deep learning; desert; environmental factor; gated recurrent unit network; generalized regression neural network; long short term memory network; machine learning; meteorological phenomena; prediction; random forest; relative humidity; riparian ecosystem; river basin; simulation; spatiotemporal analysis; support vector machine; vegetation; water flow; water monitoring; water supply",Article,Scopus,2-s2.0-85127480696
"Jiang J., Zhou H., Zhang T., Yao C., Du D., Zhao L., Cai W., Che L., Cao Z., Wu X.E.","57580364700;57338699800;57222992923;57579127900;57579330200;57579955100;56411446300;57580364800;57580159200;55624717600;","Machine learning to predict dynamic changes of pathogenic Vibrio spp. abundance on microplastics in marine environment",2022,"Environmental Pollution","305",,"119257","","",,,"10.1016/j.envpol.2022.119257","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128411008&doi=10.1016%2fj.envpol.2022.119257&partnerID=40&md5=03857a67f21e82becd12d690445cb6af","Estuary; Machine learning; Mariculture; Pathogenic microorganisms; Plastic pollution","Deep neural networks; Forecasting; Marine biology; Marine pollution; Microplastic; Dynamic changes; Machine learning models; Marine environment; Microplastics; Pathogenic microorganisms; Pathogenics; Plastic pollutions; Prediction performance; Relative abundance; Vibrio spp; Microorganisms",Article,Scopus,2-s2.0-85128411008
"Zhang G., Wei F., Chen Z., Wang Y., Jiao S., Yang J., Chen Y., Liu C., Huang Z., Dong L., Chen S.","57218561940;56735281300;8597955600;57200056327;42461776000;57546247000;57222718590;57546630400;57545090600;54683663500;57215837548;","Evidence for saponin diversity–mycobiome links and conservatism of plant–fungi interaction patterns across Holarctic disjunct Panax species",2022,"Science of the Total Environment","830",,"154583","","",,,"10.1016/j.scitotenv.2022.154583","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126988077&doi=10.1016%2fj.scitotenv.2022.154583&partnerID=40&md5=ec1df5d0830a7d17b895ecf0cda8af67","Coevolution; Community assembly; Dynamic universality; Plant mycobiome; Plant–microbe interaction","Biochemistry; Ecosystems; Fungi; Microorganisms; Phylogenetic; Co-evolution; Community assembly; Dynamic universality; Ecosystem services; Fungal community; Interaction pattern; Phytochemical; Plant mycobiome; Plant-microbe interactions; Plant/fungi interactions; Dynamics; saponin; Article; correlation analysis; ecological niche; environmental protection; evolution; fungal community; gene cluster; genus; Holarctic; landscape; machine learning; mycobiome; nonhuman; Panax; phylogeny; phytochemistry; plant fungus interaction; protein synthesis; species difference; species diversity; taxonomy",Article,Scopus,2-s2.0-85126988077
"Kaskie K.D., Wimberly M.C., Bauman P.J.","57201487844;6603472869;7003816598;","Predictive Mapping of Low-Density Juniper Stands in Prairie Landscapes of the Northern Great Plains",2022,"Rangeland Ecology and Management","83",,,"81","90",,,"10.1016/j.rama.2022.03.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129332675&doi=10.1016%2fj.rama.2022.03.005&partnerID=40&md5=41971b138fe322a00c005d4cc288262e","Eastern redcedar; Grassland ecology; Land cover change; Predictive vegetation mapping; Rocky Mountain juniper; Seedling establishment; Tree invasion",,Article,Scopus,2-s2.0-85129332675
"Karapinar Senturk Z.","57214446969;","Amphibian species detection in water reservoirs using artificial neural networks for ecology-friendly city planning",2022,"Ecological Informatics","69",,"101640","","",,,"10.1016/j.ecoinf.2022.101640","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128320805&doi=10.1016%2fj.ecoinf.2022.101640&partnerID=40&md5=e24d35cd6720269f711445cc67b58be1","Amphibians; Artificial neural networks; Biodiversity; City planning; Conservation; Machine learning; Water reservoirs","amphibian; artificial neural network; biodiversity; conservation planning; detection method; GIS; machine learning; reservoir; satellite imagery; urban planning",Article,Scopus,2-s2.0-85128320805
"Hussein B.R., Malik O.A., Ong W.-H., Slik J.W.F.","57204496614;57301482300;57571506100;57396851200;","Applications of computer vision and machine learning techniques for digitized herbarium specimens: A systematic literature review",2022,"Ecological Informatics","69",,"101641","","",,,"10.1016/j.ecoinf.2022.101641","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127946494&doi=10.1016%2fj.ecoinf.2022.101641&partnerID=40&md5=385d4fc5b019584b021c88da58599a1e","Computer vision; Deep learning; Digitized herbarium specimen; Machine learning; Plant science; Plant species identification","computer vision; herbarium; identification method; literature review; machine learning; type specimen",Review,Scopus,2-s2.0-85127946494
